Dates,Google,Meta,JPM
2016-12-27,40.497,118.01,87.13
2016-12-28,40.229,116.92,86.5
2016-12-29,40.144,116.35,85.89
2016-12-30,39.623,115.05,86.29
2017-01-02,39.623,115.05,86.29
2017-01-03,40.401,116.86,87.23
2017-01-04,40.389,118.69,86.91
2017-01-05,40.651,120.67,86.11
2017-01-06,41.261,123.41,86.12
2017-01-09,41.359,124.9,86.18
2017-01-10,41.301,124.35,86.43
2017-01-11,41.493,126.09,87.08
2017-01-12,41.477,126.62,86.24
2017-01-13,41.547,128.34,86.7
2017-01-16,41.547,128.34,86.7
2017-01-17,41.373,127.87,83.55
2017-01-18,41.451,127.92,83.94
2017-01-19,41.219,127.55,83.3
2017-01-20,41.409,127.04,83.67
2017-01-23,42.222,128.93,83.71
2017-01-24,42.477,129.37,84.72
2017-01-25,42.923,131.48,86.03
2017-01-26,42.849,132.78,86.75
2017-01-27,42.252,132.18,86.93
2017-01-30,41.192,130.98,86.03
2017-01-31,41.01,130.32,84.63
2017-02-01,40.762,133.23,84.95
2017-02-02,40.913,130.84,84.59
2017-02-03,41.007,130.98,87.18
2017-02-06,41.081,132.06,86.77
2017-02-07,41.462,131.84,86.72
2017-02-08,41.494,134.2,85.96
2017-02-09,41.503,134.14,87.2
2017-02-10,41.743,134.19,87
2017-02-13,41.948,134.05,88.15
2017-02-14,42.002,133.85,89.56
2017-02-15,41.866,133.44,90.59
2017-02-16,42.109,133.84,90.53
2017-02-17,42.328,133.53,90.23
2017-02-20,42.328,133.53,90.23
2017-02-21,42.463,133.72,91.01
2017-02-22,42.568,136.12,91.06
2017-02-23,42.55,135.36,91.13
2017-02-24,42.39,135.44,90.33
2017-02-27,42.484,136.41,90.43
2017-02-28,42.247,135.54,90.62
2017-03-01,42.838,137.42,93.6
2017-03-02,42.493,136.76,92.14
2017-03-03,42.454,137.17,92.8
2017-03-06,42.364,137.42,91.92
2017-03-07,42.558,137.3,91.41
2017-03-08,42.682,137.72,91.21
2017-03-09,42.892,138.24,91.57
2017-03-10,43.07,138.79,91.28
2017-03-13,43.229,139.6,91.36
2017-03-14,43.296,139.32,91.51
2017-03-15,43.42,139.72,91.73
2017-03-16,43.5,139.99,91.64
2017-03-17,43.619,139.84,90.68
2017-03-20,43.396,139.94,90.03
2017-03-21,42.507,138.51,87.39
2017-03-22,42.49,139.59,87.53
2017-03-23,41.983,139.53,87.39
2017-03-24,41.757,140.34,87.29
2017-03-27,41.926,140.32,87.24
2017-03-28,42.032,141.76,88.6
2017-03-29,42.494,142.65,88.27
2017-03-30,42.474,142.41,89.03
2017-03-31,42.39,142.05,87.84
2017-04-03,42.838,142.28,87.52
2017-04-04,42.629,141.73,87.31
2017-04-05,42.445,141.85,86.19
2017-04-06,42.255,141.17,86.48
2017-04-07,42.105,140.78,86.18
2017-04-10,42.085,141.04,85.88
2017-04-11,41.994,139.92,85.73
2017-04-12,42.073,139.58,85.4
2017-04-13,42.009,139.39,84.4
2017-04-14,42.009,139.39,84.4
2017-04-17,42.757,141.42,85.86
2017-04-18,42.7,140.96,85.16
2017-04-19,42.826,142.27,84.46
2017-04-20,43.004,143.8,85.55
2017-04-21,42.948,143.68,84.52
2017-04-24,43.947,145.47,87.5
2017-04-25,44.442,146.49,88.26
2017-04-26,44.457,146.56,88.43
2017-04-27,44.572,147.7,87.61
2017-04-28,46.226,150.25,87
2017-05-01,46.641,152.46,87.06
2017-05-02,46.855,152.78,86.5
2017-05-03,47.423,151.8,87
2017-05-04,47.736,150.85,87.1
2017-05-05,47.514,150.24,87
2017-05-08,47.935,151.06,87.1
2017-05-09,47.836,150.48,86.75
2017-05-10,47.742,150.29,87.43
2017-05-11,47.795,150.04,87.16
2017-05-12,47.757,150.33,86.92
2017-05-15,47.961,150.19,87.34
2017-05-16,48.231,149.78,87.61
2017-05-17,47.109,144.85,84.27
2017-05-18,47.525,147.66,83.96
2017-05-19,47.733,148.06,84.78
2017-05-22,48.204,148.24,84.7
2017-05-23,48.527,148.07,85.76
2017-05-24,48.881,150.04,85.71
2017-05-25,49.593,151.96,85.35
2017-05-26,49.664,152.13,85.36
2017-05-29,49.664,152.13,85.36
2017-05-30,49.808,152.38,83.9
2017-05-31,49.355,151.46,82.15
2017-06-01,49.415,151.53,83.06
2017-06-02,49.806,153.61,82.64
2017-06-05,50.194,153.63,82.79
2017-06-06,49.834,152.81,82.96
2017-06-07,50.08,153.12,83.91
2017-06-08,50.214,154.71,84.95
2017-06-09,48.506,149.6,86.96
2017-06-12,48.091,148.44,86.98
2017-06-13,48.525,150.68,87.27
2017-06-14,48.396,150.25,87.09
2017-06-15,48.009,149.8,86.57
2017-06-16,47.931,150.64,86.18
2017-06-19,48.761,152.87,88.07
2017-06-20,48.45,152.25,87.52
2017-06-21,48.93,153.91,87.12
2017-06-22,48.831,153.4,87.02
2017-06-23,49.305,155.07,86.86
2017-06-26,48.605,153.59,87.24
2017-06-27,47.405,150.58,88.05
2017-06-28,48.051,153.24,89.82
2017-06-29,46.891,151.04,91.15
2017-06-30,46.484,150.98,91.4
2017-07-03,45.973,148.43,92.75
2017-07-04,45.973,148.43,92.75
2017-07-05,46.613,150.34,93.68
2017-07-06,46.385,148.82,93.38
2017-07-07,47.04,151.44,93.85
2017-07-10,47.55,153.5,93.19
2017-07-11,47.677,155.27,92.83
2017-07-12,48.383,158.9,92.51
2017-07-13,48.443,159.26,93.1
2017-07-14,48.846,159.97,92.25
2017-07-17,48.798,159.73,91.39
2017-07-18,49.348,162.86,91.07
2017-07-19,49.639,164.14,91.2
2017-07-20,49.61,164.53,91.2
2017-07-21,49.692,164.43,90.89
2017-07-24,49.915,166,91.28
2017-07-25,48.451,165.28,92.8
2017-07-26,48.265,165.61,91.93
2017-07-27,47.626,170.44,91.55
2017-07-28,47.917,172.45,91.28
2017-07-31,47.275,169.25,91.8
2017-08-01,47.328,169.86,93.03
2017-08-02,47.382,169.3,93.11
2017-08-03,47.015,168.59,92.5
2017-08-04,47.29,169.62,93.66
2017-08-07,47.288,171.98,94.02
2017-08-08,47.21,171.23,93.68
2017-08-09,47.004,171.18,93.53
2017-08-10,46.18,167.4,92.19
2017-08-11,46.505,168.08,91.42
2017-08-14,46.947,170.75,92.49
2017-08-15,46.904,171,92.73
2017-08-16,47.213,170,92.09
2017-08-17,46.383,166.91,90.65
2017-08-18,46.309,167.41,90.74
2017-08-21,46.044,167.78,90.63
2017-08-22,47.02,169.64,91.56
2017-08-23,47.129,168.71,91.67
2017-08-24,46.845,167.74,91.52
2017-08-25,46.525,166.32,91.89
2017-08-28,46.407,167.24,91.6
2017-08-29,46.788,168.05,91.1
2017-08-30,47.182,169.92,91.31
2017-08-31,47.762,171.97,90.89
2017-09-01,47.6,172.02,91.7
2017-09-04,47.6,172.02,91.7
2017-09-05,47.074,170.72,89.51
2017-09-06,47.101,172.09,90.11
2017-09-07,47.495,173.21,88.53
2017-09-08,47.07,170.95,88.42
2017-09-11,47.165,173.51,89.79
2017-09-12,47.332,172.96,90.89
2017-09-13,47.522,173.05,91.15
2017-09-14,47.007,170.96,90.97
2017-09-15,46.765,171.64,91.62
2017-09-18,46.488,170.01,92.92
2017-09-19,46.843,172.52,93.94
2017-09-20,47.377,172.17,94.6
2017-09-21,47.378,171.11,95.03
2017-09-22,47.163,170.54,94.83
